,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,time_window,filename,Cluster
17,-16.463984,-7.804272,1.2657175,0.70271605,0.5073782,"[8.5, 9.0]",SM15XPRIZE_20240411_095302.wav,1
18,-13.591135,-8.886962,1.3526251,1.301623,1.1797805,"[9.0, 9.5]",SM15XPRIZE_20240411_095302.wav,1
19,-9.333436,-8.928303,0.11779616,0.8103687,0.97288686,"[9.5, 10.0]",SM15XPRIZE_20240411_095302.wav,1
20,-7.0292253,-10.257074,-0.10102505,1.4652599,1.4942571,"[10.0, 10.5]",SM15XPRIZE_20240411_095302.wav,1
21,-2.584357,-11.250569,-0.24782194,0.8617721,2.3955822,"[10.5, 11.0]",SM15XPRIZE_20240411_095302.wav,6
22,-1.5095439,-12.843329,-0.4976305,1.2963387,2.5998378,"[11.0, 11.5]",SM15XPRIZE_20240411_095302.wav,6
23,-0.13097358,-12.503572,-1.1175437,1.330763,3.056714,"[11.5, 12.0]",SM15XPRIZE_20240411_095302.wav,6
24,-0.24500974,-13.187727,-0.989169,0.8492632,2.7972133,"[12.0, 12.5]",SM15XPRIZE_20240411_095302.wav,6
25,-1.7344605,-12.382373,-0.891231,0.58908725,2.061255,"[12.5, 13.0]",SM15XPRIZE_20240411_095302.wav,6
26,0.7603545,-12.7214155,-1.0508655,0.507777,2.6868436,"[13.0, 13.5]",SM15XPRIZE_20240411_095302.wav,6
27,1.239165,-13.368559,-0.8156063,0.59810966,2.4485295,"[13.5, 14.0]",SM15XPRIZE_20240411_095302.wav,6
28,0.8365948,-12.655392,-1.1095184,1.0475681,3.0246391,"[14.0, 14.5]",SM15XPRIZE_20240411_095302.wav,6
29,0.5150026,-12.315968,-0.9563447,0.60953057,2.9797385,"[14.5, 15.0]",SM15XPRIZE_20240411_095302.wav,6
30,-4.345661,-11.23432,-0.70182854,0.6668004,1.7314117,"[15.0, 15.5]",SM15XPRIZE_20240411_095302.wav,1
31,-16.020542,-7.6370335,1.1863974,0.40062842,0.18510048,"[15.5, 16.0]",SM15XPRIZE_20240411_095302.wav,1
32,-15.636459,-7.2247033,0.95260483,0.21891703,-0.26928115,"[16.0, 16.5]",SM15XPRIZE_20240411_095302.wav,1
33,-16.25264,-6.212651,0.95872027,0.12752885,0.56106347,"[16.5, 17.0]",SM15XPRIZE_20240411_095302.wav,1
34,-9.350168,-8.880424,0.046176083,1.3921927,1.5818201,"[17.0, 17.5]",SM15XPRIZE_20240411_095302.wav,1
35,-7.130098,-9.486947,-0.016704306,0.7993632,1.8506947,"[17.5, 18.0]",SM15XPRIZE_20240411_095302.wav,1
36,-6.061554,-9.5428295,-0.46574524,0.82386094,1.6907434,"[18.0, 18.5]",SM15XPRIZE_20240411_095302.wav,1
37,-4.4597683,-10.244958,-0.6201197,0.6407074,1.8457185,"[18.5, 19.0]",SM15XPRIZE_20240411_095302.wav,1
38,-2.0729587,-11.160686,-0.95126146,0.89174616,2.5125067,"[19.0, 19.5]",SM15XPRIZE_20240411_095302.wav,6
39,-0.3746127,-11.079057,-1.171681,0.6461291,2.925195,"[19.5, 20.0]",SM15XPRIZE_20240411_095302.wav,6
40,0.23035657,-11.712969,-0.9255232,0.65794635,2.9382317,"[20.0, 20.5]",SM15XPRIZE_20240411_095302.wav,6
41,1.1530069,-11.308909,-1.2407972,0.4805341,3.1342204,"[20.5, 21.0]",SM15XPRIZE_20240411_095302.wav,6
42,1.4456068,-11.23095,-0.9203611,0.34100413,2.8444417,"[21.0, 21.5]",SM15XPRIZE_20240411_095302.wav,6
43,1.286038,-12.0951,-0.83526134,0.65201914,2.7765207,"[21.5, 22.0]",SM15XPRIZE_20240411_095302.wav,6
44,-1.0291901,-9.308715,-1.0997709,0.5117615,2.7421985,"[22.0, 22.5]",SM15XPRIZE_20240411_095302.wav,6
45,0.9104065,-10.924538,-1.0352219,0.49451402,2.9346576,"[22.5, 23.0]",SM15XPRIZE_20240411_095302.wav,6
46,-4.4308043,-9.398117,-0.9368907,0.09769154,1.7926477,"[23.0, 23.5]",SM15XPRIZE_20240411_095302.wav,1
47,-14.278842,-6.0989532,0.07442568,-0.2436317,0.16316286,"[23.5, 24.0]",SM15XPRIZE_20240411_095302.wav,1
48,-13.626787,-6.2392673,-0.26872912,0.30700275,0.37426296,"[24.0, 24.5]",SM15XPRIZE_20240411_095302.wav,1
49,-14.069437,-6.537437,0.26944044,0.21545607,0.58283937,"[24.5, 25.0]",SM15XPRIZE_20240411_095302.wav,1
50,-11.414718,-7.5571446,-0.4164106,0.8333952,1.1463351,"[25.0, 25.5]",SM15XPRIZE_20240411_095302.wav,1
51,-9.379285,-8.143156,-0.60643244,0.20361719,1.5379567,"[25.5, 26.0]",SM15XPRIZE_20240411_095302.wav,1
52,-5.3995748,-10.613786,-0.5196921,1.2224711,2.028637,"[26.0, 26.5]",SM15XPRIZE_20240411_095302.wav,1
53,-5.608105,-10.209581,-0.7967741,0.8542486,1.793552,"[26.5, 27.0]",SM15XPRIZE_20240411_095302.wav,1
54,-4.1089544,-11.101756,-0.8746823,1.399,2.3874402,"[27.0, 27.5]",SM15XPRIZE_20240411_095302.wav,1
55,-2.3424625,-11.284733,-0.65959483,1.070667,2.5637233,"[27.5, 28.0]",SM15XPRIZE_20240411_095302.wav,6
56,0.9800111,-10.932055,-1.3952448,0.7013159,3.0016518,"[28.0, 28.5]",SM15XPRIZE_20240411_095302.wav,6
